label,review
0,不好服务员像目老虎态度极其恶劣当然价钱设施
1,饭店环境不错服务良好门童主动尽职早餐品种丰富房间设施比较陈旧室内空气不流通异味结帐时才得到告知建行龙卡不能完成预受权害第二个星期末预受还没取消
1,经济型连锁酒店觉得锦江之星家莫泰高出一筹最明显房间本身够宽敞厕所不局促马桶加长型10元早餐算丰富整个酒店色泽基调看着舒服如家土点
1,酒店环境还交通还算方便觉得房价还不含早餐有点不太尽人意已经第三次入住感觉酒店有点皇帝女儿感觉游泳健身餐饮好像都单独承包尤其游泳健身还要单独买票真是滑稽房价服务水准不匹配补充点评2007年8月23日宽带收费算高
0,服务态度似乎还接受可惜同事房间没有网线口10层咖啡厅很早就关门早餐说10点半实际上9点没有不加送餐服务晚上八点停止饭店周围环境很差垃圾包围玻璃不隔音住10层依旧每天早晨不用脑中窗外汽笛声
1,服务早餐都超好小孩特别照顾早餐时特别关心房间环境不错值得推荐
0,房间设备陈旧不齐全一点不象四星酒店房价显高不明白河南所谓四星级酒店成都南宁省会城市四星房价还高
1,硬件设施没说房间豪华气派唯一缺点前台退房服务不好服务员办公方便居然客人提行李柜台挪到柜台结帐过程中还不时停下来应付服务一点都不尊重面前客人
1,住比较周围吃喝玩购物都方便建议携程以后好折扣
1,环境还不错我姐指定住地方住很多次喜欢
1,房间还算整齐宽敞住标准间大床房浴室淋浴笼头不太好出水不均匀洗澡不舒服服务还不错酒店早上11点提前入住结账速度比较快不耽误时间酒店靠近13号地铁还算方便
0,住最差１房间极其闷高原本来缺氧闷房间里极易加剧高原反应２简陋窗上床垫歪露出木头床架３洗手间几十块招待所更脏马桶盖子铁丝连在一起冲水装置需要提起来才能４部分服务员态度恶劣退房背巨大包问服务员不能稍微快点白几眼不怕死住
0,曾经住一次经济型酒店宜兴锦江之星房间大干净颇感惊喜以为经济型酒店都这次去成都第二天早就赶往青城山反正住一晚选这家汽车站很近如家噩梦一场一出电梯一股异味扑面而来打开房间里面一片狼藉床上地上到处散落不说里面气味远超过走廊上赶紧打开窗叫正在隔壁打扫管房一定好好打扫干净赶紧走人外出吃饭回来后房间当然打扫异味依旧推开卫生间门去冲澡一股浓烈恶臭扑面而来终于明白房间里味道来源洗完澡人差不多已熏晕过去LG做明智决定今天不洗澡房间卫生间联通恶臭不停释放出来条浴巾盖地漏上以确保房间恶臭浓度不再上升睡觉时只能开着窗面向窗侧睡气味稍微淡些一夜难熬伴窗外建筑工地隆隆声汽车喇叭声房间里极度恶臭味迷迷糊糊估计顶多睡3小时好不容易熬天亮赶紧收拾东西走人第二天住青城山豪生国际酒店相比之下感觉宛如天堂
1,酒店地理位置不错房间布置还电视滥点厕所不太通畅房价偏贵
0,酒店性价比很差住无数酒店算是非常差服务差设施差房间小骚扰电话卫生间淋浴竟然没有门创意不知道老毛子住估计喜欢骚扰电话建议大家选择酒店
1,优越地理位置观景阳台六层露天餐厅六层露天餐厅等位时间比较长电话预定告诉预定已经满只好排号露天平台上用餐40分钟房间阳台都比较小电梯更小前台人员比较少客人需要等候
0,所谓高级大床房超级无量小洗脸盆卧室里淋浴房卧室里一大早还没睡醒有人使用电动钻施工修理价格偏高携程价毫无优势只前台价便宜9元客人所付房前均携程低
1,价格不高比较实惠服务不错闹市区不远交通比较方便
1,环境很好还630以后免费游览明孝陵下次去南京还会住
0,最近变成四星好像房间装修餐厅装修早餐不错呵呵继续努力
1,酒店老设施早餐位置位于火车站附近周边环境乱
1,环境不错早饭种类不宣传健身居然还要交钱都还好
