label,review
1,7号晚上9号中午撤散布绿树间一幢幢俄式两层别墅环境没说幽静知太起劲晚上12点左右才休息早上6点多醒来歌唱海边56分钟路程宾馆内瓦西里酒馆环境更没得说价钱便宜俄式味道很地道菜品少点外国专家疗养所俄罗斯人比较早餐一般般牛奶比较稀鸡蛋放时间比较长吃两天适应说些不太满意地方房间大概好久都没有人住很潮洗游泳衣竟然走没有干设施比较古老很干净服务员很好总体不错觉得房价达不到3星标准补充点评2008年8月10日早餐不太满意没有去餐厅吃过饭
1,非常不错酒店宽带免费早餐武汉特产热干面豆皮供应赞
1,订房间住三天档次性价比还算值得
0,硬件设施太旧房价不相符价格贵补充点评2008年7月29日大床房床太小两人睡感觉不舒服
0,酒店设备陈旧服务差劲还二星级水准更令人郁闷早晨七点半下火车赶到酒店却告知九点方入住就要加半天房租避免挨冻多付250元携程还不算结分真是冤透
0,酒店设施老化严重一家五星级酒店居然没有无烟楼层这是前台登记酒店服务员说
0,非常差酒店住高级房每天都n小强桌子上地上走过大堂副理反映告知是因为天热会汗前台服务差住楼层上一层装修晚9点仍然干活先打电话客服客服说前台前台说管不了宽带上网发生IP冲突不停断网电话前台仍然说管不了说差到极点一家三星级酒店没人考核
1,大堂五星标准酒店位置不好好几次开元最偏远洗手间小马桶破旧前台入住太慢抽三根烟才搞定竟无烟房早餐很中式管饱总体服务挺好
0,地段还不错一家4星级宾馆设施方面实在不敢恭维主要问题卫生间住标间可能房间会好一点卫生间实在太小打开门里面转个身都困难从来没看到小卫生间地方倒还好一点想以后不会去住当然好地方自助餐还不错内容比较丰富味道不错特别虾
0,饭店坐地起价协程上面6月份就定好8月10号6日6标准间每个300变成380坚决不肯出钱饭店说没有6房间4不是故意变相加价坚决不肯就范要求协程出面解决最后总统套房由协程出多出来部分大家以后碰到这种事情千万不能妥协要求协程出面解决
1,非常好老婆这家客栈赞不绝口基本上达到四星级房屋设施标准自带庭院非常美丽酒店服务员老板人都很好早饭非常好吃牛奶馒头鸡蛋肉酱面真的人有家感觉下次一定还要住
1,评分最高分为100性价比82分入住退房过程80分服务80分房间设计家具80分宽带速度便利80分免费床及床上用品78分洗手间80分早餐80分健身设施没试地理位置75分华悦地理位置不是最好南昌市中心区不大打车去八一广场几个景点都不远订豪华客房438元人民币含单早房间不大不到三十平米装修家具都蛮新一点令住客比较烦酒店提供纸袋很容易破www点chuchairen点com更酒店航空公司点评
1,感觉还不错不算新不算豪华地下一层桑那按摩当然应该独立经营骗钱故意不说要加房间钱
0,房间设备不是很好走路线不设备不好正常干净人觉得安心才目标如家做不错一点房间整理很干净天气热可能彻底消毒一下第一天入住房间看到小强火车站出来大概走5分钟交通不错打车火车站搭车到岳阳楼君山挺方便附近用餐地方很好特别一提服务员态度很好问几次问题都很热诚帮解答下次机会去岳阳玩估计会入住希望不会再小强见面
0,房间很简陋应该招待所标准钥匙开门没有热水壶找房间需要绕过好几条小弄堂已经晕头转向还没找到房间道很小很吵基本没什么隔音设施里面有人洗澡过道上听一清二楚厕所还干净空调独力制热还不错价格质量不知道去评
0,很久想起基本上产生不了
1,环境不错价格合理房间没有太平洋酒店大设施旧
